,edge_id,edge_from,edge_to,edge_type,seg_edges,edge_type_cat
383,segment_46,273159,1627457767,segment,253327114 & 326360859,segment
384,segment_45,564062,564060,segment,227043218 & 326360865 & 541600144,segment
385,segment_44,1029615236,1029615040,segment,326372747 & 326372742 & 326372745,segment
386,segment_43,1029615040,375630,segment,253346710 & 326372741 & 326372743 & 205696727 & 205696730,segment
387,segment_42,375625,21493223,segment,253346716 & 325030864 & 325030863 & 326381214 & 253346713 & 253346715 & 326381211 & 316670150,segment
388,segment_56,106370656,130114,segment,253327117 & 314271665 & 1017966875 & 219404823,segment
389,segment_41,1581762671,375734,segment,253353293 & 326391238 & 326391234,segment
390,segment_48,427301,3694897725,segment,133659787 & 325781636 & 325781637,segment
391,segment_57,1099538607,1099538529,segment,289441732 & 307456801 & 95995652,segment
392,segment_67,269395641,375852,segment,142937978 & 256333142 & 100307561 & 256297926,segment
393,segment_59,2956950065,147162,segment,292154882 & 153077009,segment
394,segment_76,531076597,1607553290,segment,20354074 & 40107612,segment
395,segment_75,281812,1393033848,segment,3662424 & 205696734 & 205696733 & 4241832#0,segment
396,segment_74,3792289088,1059694872,segment,189228362 & 205697739 & 205697740,segment
397,segment_73,375609,129002,segment,8071474 & 237841427 & 864003708#0,segment
398,segment_72,778269332,181764519,segment,245440732 & 245440735 & 288717313,segment
399,segment_71,146855,1685004114,segment,246627687 & 246627688 & 326467411,segment
400,segment_70,268348879,2619671762,segment,288717723 & 256297918,segment
401,segment_58,364882784,293682866,segment,32456942 & 29264205 & 327070360,segment
402,segment_69,410206930,4804095376,segment,256297930 & 256297928 & 245440736 & 245440736-AddedOffRampEdge,segment
403,segment_66,602020,130125,segment,4629196 & 280269665 & 149802998#0 & 234874705 & 4629157#0,segment
404,segment_65,128963,292342693,segment,2413204 & 280270148 & 149803000#0 & 280270147,segment
405,segment_64,273165,106370593,segment,198366313 & 280273994 & 280273997 & 280342519,segment
406,segment_63,104738806,129934,segment,253327118 & 280342521 & 280341480,segment
407,segment_62,292345454,262868,segment,100871373 & 290146640 & 668037399,segment
408,segment_61,267713,267718,segment,974688632 & 290151888 & 290151886,segment
409,segment_60,267723,1099465477,segment,289444430 & 290151889 & 290151887 & 290151887-AddedOffRampEdge,segment
410,segment_68,1564111637,269396599,segment,56316138 & 256297929 & 256297934 & 256333143,segment
411,segment_39,18034001,1572998454,segment,253357497 & 326449532 & 326449551 & 326455241 & 326455242,segment
412,segment_1,147025,147018,segment,488043429 & 488043434 & 930774580 & 256297932,segment
413,segment_37,12778935,34035887,segment,143702458 & 326467412 & 326458129 & 847506312,segment
414,segment_16,21493515,375839,segment,246627685 & 326464855 & 8033288 & 397321376,segment
415,segment_15,281767,281784,segment,141620461 & 146070310 & 864003703 & 864003703-AddedOffRampEdge,segment
416,segment_14,128971,129002,segment,326360871 & 485742404 & 864003707 & 485742401,segment
417,segment_13,129002,440566,segment,145779210#0 & 326369715 & 4247380 & 864003709 & 326372738,segment
418,segment_12,1423221687,4241706370,segment,864009856 & 864009857 & 34954204,segment
419,segment_11,18277418,375764,segment,253354842 & 326418275 & 864701224 & 326418278 & 864701223 & 325882173,segment
420,segment_10,1590077889,1423221465,segment,145630548 & 144556656 & 864726187 & 864701231 & 864009855,segment
421,segment_17,1581762656,146717,segment,144555137 & 326391235 & 656333839 & 326391232 & 326391233,segment
422,segment_9,1029614925,129001,segment,253346705 & 864726197 & 326372740#0 & 541607290 & 145779209 & 541607286,segment
423,segment_7,129082,375625,segment,3995754 & 90262912 & 317152575,segment
424,segment_6,375772,18033999,segment,253356369 & 325882168 & 325882166 & 915905440 & 326449527,segment
425,segment_5,249309579,146754,segment,253357498 & 326449534 & 326449546 & 915905442 & 325882170,segment
426,segment_4,8543497362,1099560796,segment,920048359 & 29265208 & 318892039,segment
427,segment_3,27457786,1099538478,segment,4478922 & 920048360 & 100871364,segment
428,segment_2,1423221536,375729,segment,864009865 & 864701230 & 194605227 & 929876820 & 326391237 & 326391231,segment
429,segment_77,1878022043,268348879,segment,177359482 & 177359480 & 24686937,segment
430,segment_8,564060,25335965,segment,253331650 & 895154059 & 55717665 & 280264754,segment
431,segment_38,146773,249309576,segment,253357496 & 326455244 & 326455246 & 326449523 & 326449537,segment
432,segment_18,181764514,482714971,segment,40144606 & 56316151 & 326539634 & 40144608,segment
433,segment_20,25335917,564059,segment,198358388 & 280269658 & 541602725 & 326360876,segment
434,segment_36,2041194,375834,segment,3551125 & 326467413 & 246627690 & 246627689,segment
435,segment_35,269396685,146886,segment,153082872 & 326501998 & 153100076,segment
436,segment_34,2619559994,410206938,segment,256283243 & 326533930 & 256297927,segment
437,segment_33,262868,269724796,segment,29265257-AddedOnRampEdge & 29265257 & 327043538 & 290146638 & 2597457 & 290151890 & 290151890-AddedOffRampEdge,segment
438,segment_32,1099538607,26458251,segment,146074662 & 327043790 & 164407410,segment
439,segment_31,1099560799,1099560779,segment,289441712 & 327070359,segment
440,segment_30,21690967,1580169075,segment,142791203 & 367086942 & 144118673,segment
441,segment_19,146710,1423221462,segment,253353290 & 546312752 & 326391241 & 326391239 & 253350648,segment
442,segment_29,34035893,146774,segment,295655351 & 326458126 & 326458128 & 394119696 & 326458130 & 326458132 & 326455245,segment
443,segment_27,375781,375809,segment,56316137 & 326455243 & 460356411 & 326467410,segment
444,segment_26,262896,1099538607,segment,289444423 & 318893111 & 48600711 & 145571948 & 290146639 & 290146639-AddedOffRampEdge,segment
445,segment_25,375609,1623777535,segment,3345072 & 487845692 & 313844121,segment
446,segment_24,146933,269395636,segment,136439511 & 488043431 & 19410154,segment
447,segment_23,216326952,471965,segment,288717312 & 248212237 & 488043430 & 488043435 & 245440733,segment
448,segment_22,146754,2383200,segment,147549255 & 52143596 & 52143597,segment
449,segment_21,247364973,147159,segment,930774581 & 256297923 & 529270426 & 177359483 & 256297913 & 177359481,segment
450,segment_28,146870,1828305746,segment,256297924 & 397317297 & 246627684,segment
451,segment_78,21600328,262868,segment,164407411 & 193128685,segment
